ConstituentID,DateAcquired,Gender,Gender_NM,Department,,Decade,MPD_A,MPD_M,MPD_NM,,M in 1960,NM in 1960,M in 2000,NM in 2000
1424,1939,male,male,Painting & Sculpture,,,,,,,,,,
3757,1939,male,male,Painting & Sculpture,,,,,,,,,,
3641,1939,male,male,Architecture & Design,,,,,,,,,,
2003,1939,male,male,Painting & Sculpture,,,,,,,,,,
1466,1939,male,male,Drawings & Prints,,,,,,,,,,
1083,1939,male,male,Drawings & Prints,,,,,,,,,,
761,1939,male,male,Drawings & Prints,,,,,,,,,,
1343,1939,female,non-male,Drawings & Prints,,,,,,,,,,
6234,1939,male,male,Architecture & Design,,,,,,,,,,
3790,1939,male,male,Painting & Sculpture,,,,,,,,,,
5056,1939,male,male,Painting & Sculpture,,,,,,,,,,
37290,1939,male,male,Architecture & Design,,,,,,,,,,
1634,1939,male,male,Drawings & Prints,,,,,,,,,,
4592,1939,male,male,Painting & Sculpture,,,,,,,,,,
2372,1939,male,male,Drawings & Prints,,,,,,,,,,
3115,1939,male,male,Painting & Sculpture,,,,,,,,,,
2569,1939,male,male,Drawings & Prints,,,,,,,,,,
2266,1939,male,male,Drawings & Prints,,,,,,,,,,
383,1939,male,male,Painting & Sculpture,,,,,,,,,,
652,1939,male,male,Painting & Sculpture,,,,,,,,,,
4705,1939,male,male,Painting & Sculpture,,,,,,,,,,
5471,1940,male,male,Drawings & Prints,,,,,,,,,,
1493,1940,male,male,Drawings & Prints,,,,,,,,,,
3026,1940,male,male,Drawings & Prints,,,,,,,,,,
1609,1940,male,male,Drawings & Prints,,,,,,,,,,
1665,1940,female,non-male,Drawings & Prints,,,,,,,,,,
1182,1940,male,male,Drawings & Prints,,,,,,,,,,
994,1940,male,male,Drawings & Prints,,,,,,,,,,
1126,1940,male,male,Drawings & Prints,,,,,,,,,,
48181,1940,male,male,Architecture & Design,,,,,,,,,,
5655,1940,male,male,Architecture & Design,,,,,,,,,,
